Timestamp,Field,Current Years of Experience (working Software),"Salary (please specify currency ie. PHP 25,000, USD 500)",Position / Occupational Title,"What city, country is your work based in? (ie. Makati, Philippines)",University attended,Course studied,Did you finish university?,What is the focus of your work? (answer 'Other' if not in this list),"Technologies Used at Work (ie. Ruby on Rails, Angular 4, Microsoft Azure)"
11/16/2017 11:40:17,Government,3,PHP 34000,,,,,,,
11/16/2017 11:42:38,Corporate,2,PHP 31620 ,Associate Analyst Developer,"Makati, Philippines ",University of the Philippines Diliman,BS Computer Science,Yes,"Banking Software, Logistics, Software Engineering, Web Development","Avaloq, PHP, OracleDB, MySQL, Android"
11/16/2017 11:44:46,Startup,2,PHP 50000,,Pasig,UP Diliman,Computer Science,Yes,Web Development,
11/16/2017 11:55:33,Corporate,1,PHP 15500,,,,,,,
11/16/2017 12:02:16,Corporate,3,PHP 80000,Software Engineer,Taguig,UPLB,ComSci,Yes,"Devops, Enterprise Systems, Software Engineering, Web Development, Networks",Google Stack
11/16/2017 12:05:05,Consultancy,2,PHP 18000,Office Admin,"Pasig, Philippines",University of Asia & the Pacific,Information Technology,Yes,Enterprise Systems,"Windows, Google Docs"
11/16/2017 12:15:15,Startup,5,PHP 50000,Creative Dirctor,"Pasig, Philippines",University of Santo Tomas,bSIT,Yes,UI / UX,Python html5 css JavaScript react vue 
11/16/2017 12:15:48,Corporate,1,PHP 25000,,,,,,,
11/16/2017 12:18:38,Consultancy,2,PHP 31900,Software Engineer,"Cebu City, Philippines",Cebu Technological University,BSICT,Yes,"Enterprise Systems, Quality Assurance / Testing, Software Engineering, Web Development","AngularJS, Java, C#.NET, Bootstrap, PostgreSQL, MSSQL"
11/16/2017 12:26:12,Corporate,1.5,PHP 55000,Software Engineer,Philippines,UP Diliman,BS Computer Science,Yes,Software Engineering,"C/C++, Oracle"
11/16/2017 12:27:02,Startup,7,PHP 80000,Software engineer,"Quezon City, Philippines",UP Diliman,BS Computer Science,Yes,"Data Science / Data Engineering, Enterprise Systems, Project Management, Software Engineering, UI / UX, Web Development, Systems administration","Python-django, ReactJS, React Native, AWS, Azure, scikit-learn"
11/16/2017 12:32:29,Startup,10,PHP 72000,Sr. Web Developer,Pasig City,FEU and UP Diliman ,BS Computer Science,Yes,Web Development,"PHP, Python, Golang, HTML/CSS/Javascript (jQuery, Angular, React), Postgres, Docker, Kubernetes, AWS"
11/16/2017 12:38:29,Consultancy,4,PHP 55000,Senior Software Engineer,"Cebu City, Philippines",University of Cebu,BSIT,Yes,"Software Engineering, Web Development","PHP, MySQL, Docker, Kubernetes"
11/16/2017 12:41:37,Corporate,1.5,PHP 36000,Software Engineer,"Taguig, Philippines",UP Diliman,BS Computer Science,Yes,FinTech,"Python, C++, Perl, XML"
